,Ceny sprzedaży na 10.12.2024,,
Kod asortymentu,Asortyment Rz808,Cena netto,
601-6160,Zeberka trójkąty mięsne LUZ ,"9,85",PLN
601-6161,Zeberka trójkąty mięsne VAC,"9,85",PLN
601-9493,Boczek rolowany surowy Pamso,"24,99",PLN
601-6070,Boczek b/ż b/s,"19,99",PLN
601-6069,Boczek b/z z/s,"19,19",PLN
601-6073,Boczek z/ż z/s SZEROKI,"19,19",PLN
601-9887,Boczek b/ż z/s żebro łuskane,"19,19",PLN
601-9840,Boczek b/z z/s UE,"19,19",PLN
601-6301,Polędwiczki wp,"29,99",PLN
601-6155,Żeberka pasy,"21,99",PLN
601-6105,Mięso wp. klasy 50/50,"8,99",PLN
601-6103,Mięso wp. klasy 80/20,"14,99",PLN
601-6108,Mięso wieprzowe golonkowe,"14,49",PLN
601-6326,Słonina,"9,49",PLN
601-6122,Podgarle,"8,99",PLN
601-6076,Golonki wp przednia,"10,99",PLN
601-6079,Golonki wp tylna,"10,99",PLN
601-6113,Nogi wp,"4,59",PLN
601-6115,Ogony wp.,"3,99",PLN
601-6118,Ozory wp,"10,39",PLN
601-6088,Kości karkowe,"3,79",PLN
601-6090,Kości schabowe ,"4,79",PLN
601-6358,watroba wp.,"4,45",PLN
601-6121,Płuca wieprzowe,"6,49",PLN
601-6111,Nerki wieprzowe,"4,50",PLN
601-6138,Serca wp,"6,80",PLN
601-9498,Kości boczkowe - paluszki,"3,49",PLN
601-6110,Kośći mostki wieprzowe,"3,49",PLN
601-6382,Kości rurki wieprzowe,"1,29",PLN
601-6075,Głowy wp,"3,99",PLN
601-8442,Kark wołowy,"32,70",PLN
601-8354,Udziec wołowy,"39,40",PLN
601-8311,Pręga,"31,65",PLN
601-8256,Gulaszowe wołowe,"30,59",PLN
601-8331,Szponder wołowy,"31,65",PLN
601-8038,Łata wołowa,"31,65",PLN
601-8036,Ligawa wołowa,"53,50",PLN
601-9509,Mieso wołowe rosołowe ,"20,40",PLN
601-8441,Goleń wołowa,"32,80",PLN
601-9009,Kark cielęcy b/k,"43,60",PLN
601-9004,Gicz cielęca b/k,"38,20",PLN
601-9026,Udziec cielęcy b/k,"67,60",PLN
601-9013,Łopatka cielęca b/k,"54,50",PLN
601-9356,Wątroba cielęca,"32,20",PLN
601-9220,Górka cielęca z/k,"54,50",PLN
601-9851,Górka cielęca b/k,"52,50",PLN
601-9017,Mostek cielęcy z/k,"27,20",PLN
601-9440,Mostek cielęcy b/k,"29,49",PLN
601-9224,Kości cielęce,"7,80",PLN
601-9020,Ogony cielęce,"12,30",PLN
601-9658,Królik świezy,"28,89",PLN
601-9533,Królik mrożony,"28,89",PLN
601-9816,Wątróbka z królika,"13,49",PLN
