,,OFERTA HANDLOWA SELIGA,,,,,,
,,,,,,,,
,,,,,,,,
,,06.11.2024 – 09.12.2024,,,,,,
,,,,,,,,
LP,,NAZWA,ILOŚĆ ZAMÓWIONA,JM,KRAJ,VAT,Cena netto,Cena Brutto
52,27.0006,GRUSZKA KONFERENCJA I OP 12 KG NL,,KG,HOLANDIA,5%,7.50,7.88
53,27.0012,GRUSZKA KONFERENCJA I OP 20 KG NL,,KG,HOLANDIA,5%,6.30,6.62
54,121.0003(2),GRUSZKA LUKASÓWKA I OP 20 KG PL,,KG,POLSKA,5%,5.20,5.46
55,28.0001(2),GRUSZKA LUKASÓWKA II OP 20 KG PL do wyczerpania,,KG,POLSKA,5%,4.05,4.26
56,121.0001(4),GRUSZKA SUSZONA ĆWIARTKA OP 5 KG PL,,KG,POLSKA,5%,22.70,23.84
57,121.0096,GRUSZKA SUSZONA PLASTER OP 5 KG PL,,KG,POLSKA,5%,21.45,22.53
58,121.0097,GRZYBY SHIMEJI 150 G CN,,SZT,CHINY,5%,4.15,4.36
59,121.0001(6),IMBIR KG BR,,KG,BRAZYLIA ,8%,17.10,18.47
60,121.0002(3)(1),JABŁKA ALWA I OP 15 KG PL,,KG,POLSKA,5%,2.80,2.94
61,121.0097(2),JABŁKA BOSKOP I OP 15 KG PL,,KG,POLSKA,5%,4.00,4.20
62,121.0003,JABŁKA CHAMPION II OP 15 KG PL,,KG,POLSKA,5%,2.40,2.52
63,29.0002,JABŁKA CHAMPION KARTON I OP 14 KG PL,,KG,POLSKA,5%,2.70,2.84
64,29.0003,JABŁKA EMPIRE I OP 15 KG PL,,KG,POLSKA,5%,3.00,3.15
65,30.0001,JABŁKA KORTLAND I OP 15 KG PL,,KG,POLSKA,5%,3.65,3.84
66,30.0002,JABŁKA KORTLAND KARTON I OP 14 KG PL,,KG,POLSKA,5%,3.95,4.15
67,42156,JABŁKA LIGOL I OP 15 KG PL,,KG,POLSKA,5%,3.25,3.42
68,86.0001(1)(1),JABŁKA LIGOL KARTON I OP 14 KG PL,,KG,POLSKA,5%,3.65,3.84
69,33.0001,JABŁKA LOBO I OP 15 KG PL,,KG,POLSKA,5%,3.65,3.84
70,CZOSNEK20,JABŁKA LOBO KARTON I OP 14 KG PL,,KG,POLSKA,5%,3.95,4.15
71,33.0015,JABŁKA PRINCE II OP 15 KG PL,,KG,POLSKA,5%,2.65,2.79
72,121.0004(1),JABŁKA PRINCE KARTON I OP 14 KG PL,,KG,POLSKA,5%,3.45,3.63
73,33.0016,JABŁKO SUSZONE OP 5 KG PL,,KG,POLSKA,5%,21.45,22.53
74,33.0007(1)(2) ,JABŁKO ZIELONE I SZT IT,,szt.,WŁOCHY,5%,2.40,2.52
75,33.0007(1)(2) (1),JAJKA OD MŁODYCH KUR WRZOSEK PL,,SZT,POLSKA,5%,8.45,8.88
76,121.0005(3),JAJKA OWSIANE WRZOSEK PL,,SZT,POLSKA,5%,11.45,12.03
77,121.0098,JAJKA PACZKOWANE L KABAD PL,,SZT,POLSKA,5%,10.35,10.87
78,121.0005(1),JAJKA WOLNY WYBIEG L Z ORONSKA  PL,,SZT,POLSKA,5%,10.10,10.61
79,74.0003,JAJKA ZIELONA NÓŻKA WRZOSEK PL,,SZT,POLSKA,5%,12.60,13.23
80,35.0001(2),JARMUŻ WIĄZKA SZT PL,,szt.,POLSKA,5%,5.45,5.73
81,35.0002,KAKI OP 16 SZT ES,,szt.,HISZPANIA,5%,4.10,4.31
82,35.0001(1),KAKI OP 20/18 SZT ES,,szt.,HISZPANIA,5%,3.45,3.63
83,35.0009,KALAFIOR DREWNO OP 6 SZT FR,,szt.,FRANCJA,5%,6.95,7.30
84,35.0008,KALAREPA ZIELONA DREWNO OP 25 SZT IT,,szt.,WŁOCHY,5%,2.35,2.47
85,35.0004,KAPUSTA BIAŁA OP 20 KG PL,,KG,POLSKA,5%,2.10,2.21
86,121.0006(1),KAPUSTA CZERWONA OP 10 KG PL,,KG,POLSKA,5%,2.75,2.89
87,120.0059,"KAPUSTA KISZONA GUTIMEX 0,5 KG PL",,SZT.,POLSKA,5%,1.95,2.05
88,36.0013,KAPUSTA KISZONA GUTIMEX 1 KG PL,,szt.,POLSKA,5%,3.60,3.78
89,,KAPUSTA KISZONA FOLIA GUTIMEX 3 KG PL,,szt.,POLSKA,5%,10.80,11.34
90,36.0003,KAPUSTA KISZONA WIADRO GUTIMEX 3 KG PL,,szt.,POLSKA,5%,13.20,13.86
91,36.0012(1)(1),KAPUSTA KISZONA WIADRO 5 KG GUTIMEX PL,,szt.,POLSKA,5%,16.80,17.64
92,36.0012(1),KAPUSTA MŁODA PLASTIK OP 6 SZT MK,,SZT,MACEDONIA,5%,8.65,9.09
93,120.0090,KAPUSTA PEKIŃSKA ZIELONA OP 10 KG PL,,KG,POLSKA,5%,3.25,3.42
94,,KAPUSTA WŁOSKA I SZT PL,,SZT,POLSKA,5%,8.45,8.88
95,,KARAMBOLA SZT MY,,szt.,MALEZJA,5%,6.55,6.88
96,,KIEŁKI III SZT PL,,szt.,POLSKA,5%,5.05,5.31
97,,KIWI KOSZ KAVALA I KALIBER 30 SZT GR,,szt.,GRECJA,5%,10.80,11.34
98,,KIWI KOSZ SEPO I KALIBER 18/20 SZT IT,,szt.,WŁOCHY,5%,5.75,6.04
99,,KIWI LUZ CZARNY PLASTIK I KG GR,,KG,GRECJA,5%,8.45,8.88
100,,KIWI LUZ KAVALA I OP 10 KG GR,,KG,GRECJA,5%,10.80,11.34
101,,"KIWI LUZ ZESPRI GOLD I OP 5,6 KG NZ",,KG,NOWA ZELANDIA ,5%,29.60,31.08
102,,KOKOS SZT PH,,szt.,FILIPINY,5%,2.55,2.68
103,,KOLENDRA DONICZKA SZT PL,,szt.,POLSKA,8%,7.25,7.83
104,,KOLENDRA ŚWIEŻA STYROPIAN OP 20 SZT ES,,szt.,HISZPANIA,5%,2.30,2.42
105,,KOPER STYROPIAN OP 20 SZT ES,,SZT,HISZPANIA,5%,3.65,3.84
106,,KOPER SZT PL,,SZT,POLSKA,5%,1.90,2.00
107,,KOPER WŁOSKI SZT IT,,szt.,WŁOCHY,5%,4.85,5.10
108,,KURKUMA ŚWIEZA TACKA 250 G SZT PE,,SZT,PERU,8%,11.85,12.80
109,,"LIMONKI OP 4,5 KG BR",,KG,BRAZYLIA ,5%,18.30,19.22
110,36.0008,LIŚĆ LAUROWY DONICZKA SZT PL,,szt.,POLSKA,8%,17.90,19.34
111,36.0006(1),LUBCZYK DONICZKA PL,,szt.,POLSKA,8%,7.25,7.83
112,36.0006,MANDARYNKA LUSAR KALIBER 4/5 OP 10 KG ES do wyczerpania,,KG,HISZPANIA,5%,4.50,4.73
113,37.0001(1),MANDARYNKA DIFFERENTE OP 10 KG ES do wyczerpania,,KG,HISZPANIA,5%,5.40,5.67
114,38.0001,MANDARYNKA LUZ MEDMA  KAL 4 KG IT ,,KG,WŁOCHY,5%,5.95,6.25
115,120.0002,MANDARYNKA LUZ NICOLLETE I KAL 3KG IT,,KG,WŁOCHY,5%,7.10,7.46
116,41.0002(1)(1)(1)((3),MANDARYNKA LUZ PEGASUS I KALIBER 2 KG GR,,KG,GRECJA,5%,7.10,7.46
117,120.0003,MANDARYNKA SOUVENIR I KALIBER 2/3 OP 10 KG ES,,KG,HISZPANIA,5%,8.05,8.46
118,120.0056(1),MANGO LOTNICZE SZT PE,,szt.,PERU,5%,18.05,18.96
119,GROSZEK CUKROWY,MANGO OP 10 SZT BR,,szt.,BRAZYLIA,5%,3.65,3.84
120,106.0001(3),MARAKUJA SZT BR,,szt.,BRAZYLIA,8%,3.55,3.84
121,44.0014(3),MARCHEW GOTOWANA WITAMINA SZT PL,,szt.,POLSKA,5%,3.70,3.89
122,44.0011,MARCHEW MINI 200 G SZT RPA,,SZT,AFRYKA,5%,15.25,16.02
123,44.0002,MARCHEW BRUDNA OP 10 KG PL,,KG,POLSKA,5%,2.00,2.10
124,44.0006(1)(5),MARCHEW FOLIA OP 10 KG NL,,KG,HOLANDIA,5%,1.90,2.00
125,08.0007(1),MARCHEW SZYTA OP 10 KG NL,,KG,HOLANDIA,5%,1.80,1.89
126,46.0004,MELISA DONICZKA SZT PL,,szt.,POLSKA ,5%,7.25,7.62
127,12540,MELON GALLA SZT HN,,SZT,HONDURAS,8%,8.90,9.62
128,21306,MELON QUANTALUPA SZT IT,,SZT,WŁOCHY,5%,15.25,16.02
129,19115,MELON ŻÓŁTY KALIBER 9 SZT BR,,SZT,BRAZYLIA,5%,8.05,8.46
130,46508,MIESZANKA OWOCÓW SUSZONYCH 200G SZT PL,,szt.,POLSKA,5%,4.95,5.20
131,43952,MIESZANKA OWOCÓW SUSZONYCH ANMAR 140G SZT PL,,szt.,POLSKA,5%,4.45,4.68
132,05.0016(1)(1)(1),MIESZANKA OWOCÓW SUSZONYCH BIAŁE OP 5 KG PL,,KG,POLSKA,5%,22.70,23.84
133,46874,MIĘTA DONICZKA XL SZT PL,,szt.,POLSKA ,5%,12.35,12.97
134,05.0022(1),MIĘTA ŚWIEŻA STYROPIAN OP 20 SZT ES,,szt.,HISZPANIA,5%,3.95,4.15
135,49.0001,NATKA OZDOBNA SZT PL,,szt.,POLSKA,5%,1.95,2.05
136,49.0010,NATKA PIETRUSZKI SZT PL ,,szt.,POLSKA,5%,1.55,1.63
137,49.0005,"OGÓREK KISZONY GUTIMEX 0,4 KG PL",,szt.,POLSKA,5%,4.10,4.31
138,50.0002,OGÓREK KISZONY GUTIMEX WIADRO 3 KG PL,,szt.,POLSKA,5%,23.95,25.15
139,51.0001,OGÓREK GRUNTOWY TURCJA SZARE OP KG TR,,KG,TURCJA ,5%,9.10,9.56
140,53.0007(1),OGÓREK DŁUGI ROSJA CZARNY KARTON KG RU,,KG,ROSJA ,5%,14.45,15.18
141,53.0005,"OGÓREK HISZPAN LAPALMA OP 4,5 KG ES",,KG,HISZPANIA,5%,5.85,6.15
142,54.0001(1),OLEJ LNIANY 200 ML PL,,szt.,POLSKA,5%,7.60,7.98
143,54.0001,OLEJ RZEPAKOWY 200 ML PL,,szt.,POLSKA,5%,6.30,6.62
144,57.0001(2),OREGANO DONICZKA SZT PL,,SZT,POLSKA,8%,7.25,7.83
145,57.0002(1),PAPAYA XL SZT BR,,szt.,BRAZYLIA,5%,32.80,34.44
146,56.0002,PAPRYKA CHILI I OP 3 KG ES,,KG,HISZPANIA ,5%,31.55,33.13
147,56.0003,PAPRYKA CZERWONA  OP 5 KG ES,,KG,HISZPANIA,5%,11.70,12.29
148,56.0006,PAPRYKA RAMIRO OP 14 SZT ES,,SZT,HISZPANIA,5%,5.15,5.41
149,56.0006(1)(1),PAPRYKA ZIELONA OP 5 KG ES,,KG,HISZPANIA,5%,12.00,12.60
150,56.0006(4),PAPRYKA ŻÓŁTA OP 5 KG ES,,KG,HISZPANIA,5%,11.10,11.66
151,57.0004(2),PIECZARKA 250 G PL,,SZT,POLSKA,5%,3.40,3.57
152,57.0010(3),PIECZARKA 500 G PL,,SZT,POLSKA,5%,6.10,6.41
153,57.0005(5),PIECZARKA AB KG PL,,KG,POLSKA,5%,9.60,10.08
154,58.0001,PIECZARKA I KG PL,,KG,POLSKA,5%,10.40,10.92
155,122.0002,PIETRUSZKA SYPANA OP 5 KG PL,,KG,POLSKA ,5%,4.20,4.41
156,59.0001,PIETRUSZKA UKŁADANA OP 5 KG PL,,KG,POLSKA ,5%,4.80,5.04
157,120.0005,PITAHAYA XL SZT WN,,SZT,WIETNAM,5%,18.80,19.74
158,120.0006,POMARAŃCZ LUZ CZARNY KARTON II KG ES,,KG,HISZPANIA,5%,4.45,4.68
159,120.0007,POMARAŃCZ WESTLAND KARTON KALIBER 3 I KG GR,,KG,GRECJA,5%,5.60,5.88
160,59.0002,POMARAŃCZ WESTLAND LUZ DREWNO I KALIBER 1 KG GR,,KG,GRECJA,5%,6.65,6.99
161,131.0005(2)(2)(2),"POMARAŃCZ ZAMORA I KALIBER 2/32 OP 9,90 KG ES",,KG,HISZPANIA,5%,7.80,8.19
162,131.0005(2)(2)(1)(1),POMARAŃCZ ZAMORA SIATKA I OP 20 SZT ES,,szt.,HISZPANIA,5%,6.00,6.30
163,61.0024(1)(2),POMELO KALIBER 12 SZT CN,,szt.,CHINY,5%,6.90,7.25
164,,POMIDOR CZERWONY CASI GOURMET KARTON I OP 6 KG ES,,KG,HISZPANIA,5%,7.60,7.98
165,61.0006,POMIDOR CZERWONY ILIANA I OP 6 KG do wyczerpania,,KG.,MAROKO ,5%,5.85,6.15
166,,POMIDOR GAŁĄZKA MALINA SZKLARZ I OP 5 KG PL,,KG,POLSKA,5%,12.00,12.60
167,61.0019,POMIDOR LIMA VICASOL II PALETKA OP 6 KG ES,,KG,HISZPANIA,5%,9.65,10.14
168,61.0015(1)(1),POMIDOR MALINOWY  B I OP 6 KG PL,,KG,POLSKA,5%,15.05,15.81
169,62.0001,POMIDOR MALIN. TOMATEX 2B I OP 6 KG PL,,KG,POLSKA,5%,19.05,20.01
170,62.0002(1),POMIDOR MALIN. TOMATEX 3B I OP 6 KG PL,,KG,POLSKA,5%,20.00,21.00
171,106.0007,POMIDOR CASI PINK MALIN KARTON/PALETKA G OP 6 KG ES,,KG,HISZPANIA,5%,11.60,12.18
172,106.0027,POMIDOR MALINOWY CASI PALETKA GG I OP 6 KG ES,,KG,HISZPANIA,5%,11.95,12.55
173,65.0006,POMIDOR CASI KUMATO I OP 3 KG ES,,KG,HISZPANIA,5%,10.80,11.34
174,65.0003,POMIDOR CASI ŻEBROWANY I KG ES,,KG,HISZPANIA,5%,10.40,10.92
175,65.0004,"POMIDOR SZERY 0,5 KG I NL",,SZT,HOLANDIA,5%,14.45,15.18
176,121.0008,POMIDOR SZERY GAŁĄZKA CASI I OP 3 KG ES,,KG,HISZPANIA,5%,16.05,16.86
177,121.0008(1),POMIDOR SZERY LUZ ACRENA OP I OP 4 KG ES,,KG,HISZPANIA,5%,15.75,16.54
179,66.0002,POMIDOR SZERY TRÓJKĄT QUALITY GREEN I OP 12 SZT MA,,szt.,MAROKO,5%,4.35,4.57
180,66.0001,POR WIĄZKA OP 10 SZT PL,,szt.,POLSKA,5%,2.55,2.68
181,08.0008(1)(1),ROSZPONKA PRIMA OP 8 SZT IT,,szt.,WŁOCHY,5%,3.95,4.15
182,67.0001(2),ROZMARYN DONICZKA SZT PL,,szt.,POLSKA,5%,10.25,10.77
183,106.0002,RUCOLA PRIMA OP 8 SZT IT,,szt.,WŁOCHY,5%,3.95,4.15
184,71.0001,RZEPA BIAŁA DREWNO OP 10 KG IT,,KG,WŁOCHY,5%,4.20,4.41
185,106.0008,RZEPA CZARNA OP 5 KG PL,,KG,POLSKA,5%,3.40,3.57
186,106.0015(2),RZODKIEWKA OP 30 SZT PL,,SZT,POLSKA,5%,1.85,1.95
187,73.0001,SAŁATA DEKORACYJNAI OP 12 SZT IT,,szt.,WŁOCHY,5%,4.45,4.68
188,131.0001(1)(1)(1)(7),"SAŁATA LODOWA ""MARIO"" I OP 10 SZT ES",,szt.,HISZPANIA,5%,4.70,4.94
189,131.0001(1)(1)(1)(6),SAŁATA MIX PRIMA OP 8 SZT IT,,szt.,WŁOCHY,5%,3.95,4.15
190,131.0001(1)(1)(1)(9),SAŁATA MIX XL I SZT PL,,SZT,POLSKA ,5%,7.00,7.35
191,74.0001(2),SAŁATA MASŁOWA IMP. OP 16 SZT IT,,szt.,WŁOCHY,5%,3.05,3.21
192,07.0047(1)(6),SAŁATA POLSKA I OP 12 SZT PL,,szt.,POLSKA,5%,5.05,5.31
193,76.0001,SAŁATA RZYMSKA MINI I 250 G SZT ES,,SZT,HISZPANIA,5%,5.45,5.73
194,77.0001,SAŁATA RZYMSKA XL I OP 10 SZT ES,,SZT,HISZPANIA,5%,6.05,6.36
195,78.0001,SELER NACIOWY OP 16 SZT ES,,szt.,HISZPANIA,5%,4.35,4.57
196,78.0002,SELER OP 5 KG PL,,KG,POLSKA,5%,3.25,3.42
197,78.0003,SKÓRKA POMARAŃCZOWA 10KG IT,,KG,WŁOCHY,5%,22.10,23.21
198,,SURÓWKA WITAMINA PL,,szt.,POLSKA,5%,4.25,4.47
199,,SUSZ WIGILIJNY TACKA KLIMEK 250 G PL,,szt.,POLSKA,8%,4.45,4.81
200,,SUSZ WIGILIJNY TACKA LEŚNA DOLINA 140G,,szt.,POLSKA,8%,4.70,5.08
201,,SZAŁWIA DONICZKA SZT PL,,szt.,POLSKA,5%,7.25,7.62
202,78.0005(2)(1)(1),SZCZAW DONICZKA SZT PL,,szt.,POLSKA,5%,7.25,7.62
203,45.0004,SZCZYPIOR DROBNY FOLIA SZT PL,,szt.,POLSKA,5%,2.20,2.31
204,106.0016,SZCZYPIOR FOLIA SZT PL,,szt.,POLSKA,5%,1.65,1.74
205,79.0001(1),SZPARAGI ZIELONE 450 G SZT PE,,szt.,PERU,5%,26.75,28.09
206,79.0004(1),SZPINAK PRIMA OP 8 SZT IT,,SZT.,WŁOCHY,5%,3.95,4.15
207,79.0001,TOPINAMBUR OP 5 KG FR,,KG,FRANCJA,5%,10.10,10.61
208,79.0002,TYMIANEK DONICZKA SZT PL,,SZT,POLSKA,5%,9.95,10.45
209,106.0003,WINOGRON BIAŁY BARAS I OP 7 KG ES,,KG,HISZPANIA,5%,18.70,19.64
210,106.0018,WINOGRON BIAŁY RODZ. UCAK KG TR,,KG,TURCJA,5%,18.70,19.64
211,,"WINOGRON BIAŁY INGLEBY I OP 4,5 KG RE",,KG,PERU ,5%,29.90,31.40
212,,WINOGRON BIAŁY GIULIANO I OP 6 KG IT,,KG,WŁOCHY,5%,39.00,40.95
213,,WINOGRON CZARNY MOŁDAWIA FRESH GRAPES I KG MD,,KG,MOŁDAWIA,5%,17.45,18.33
214,,WINOGRON RÓŻOWY PRINCIPE I OP 7 KG IT,,KG,WŁOCHY,5%,22.05,23.16
215,,WŁOSZCZYZNA TACKA MAŁA 500 G PL  ,,SZT,POLSKA ,5%,4.15,4.36
216,,WŁOSZCZYZNA TACKA MAŁA 750 G PL,,SZT,POLSKA,5%,4.50,4.73
217,,WŁOSZCZYZNA WIĄZKA Z SELEREM 1 KG PL,,SZT,POLSKA ,5%,5.40,5.67
218,121.0025(1),"WŁOSZCZYZNA WIĄZKA Z SELEREM 1,5 KG PL",,SZT,POLSKA,5%,6.95,7.30
219,,"WŁOSZCZYZNA WIĄZKA Z KAPUSTĄ 1,5 KG PL",,SZT,POLSKA ,5%,6.95,7.30
220,,ZIEMNIAK CATANIA OP 15 KG PL,,KG,POLSKA,5%,1.65,1.74
