,,OFERTA HANDLOWA SELIGA,,,,,,
,,,,,,,,
,,,,,,,,
,,13.12.2024 – 16.12.2024,,,,,,
,,,,,,,,
LP,,NAZWA,ILOŚĆ ZAMÓWIONA,JM,KRAJ,VAT,Cena netto,Cena Brutto
1,139.0001(1),ANANAS MIODOWY OP 6 SZT CR,,szt.,KOSTARYKA,5%,"15,05","15,81"
2,11.0002(2),ANANAS OP 10 SZT CR,,szt.,KOSTARYKA,5%,"6,20","6,51"
3,37196,ARBUZ VITA KALIBER 4 SZTUKI KG BR,,KG,BRAZYLIA,5%,"5,95","6,25"
4,39022,AVOKADO HASS OP 16 SZT PE,,szt.,PERU,5%,"6,80","7,14"
5,12.0021(2),AVOKADO ZIELONE OP 16 SZT IL,,szt.,IZRAEL,5%,"3,80","3,99"
6,39783,AVOKADO ZIELONE OP 20 SZT IL,,szt.,IZRAEL,5%,"3,35","3,52"
7,43435,BAKŁAŻAN LOMA PLUS KARTON OP 5 KG ES ,,KG,HISZPANIA ,5%,"11,35","11,92"
8,40148,BANAN AMIGO OP 18 KG EC,,KG,EKWADOR,5%,"5,05","5,31"
9,14.0001,BANAN DOLE OP 18 KG EC,,KG,EKWADOR,5%,"5,60","5,88"
10,14.0004(1),BAZYLIA DONICZKA SZT PL,,szt.,POLSKA,8%,"7,65","8,27"
11,14.0003(2)(1),BOCZNIAK TACKA 250 G SZT PL,,szt.,POLSKA,5%,"5,25","5,52"
12,15.0002,BORÓWKA 125 G EAT ME OP 12 SZT PE,,szt.,PERU,5%,"5,50","5,78"
13,02.0018(1)(1),BROKUŁ FOLIA CZARNY KARTON OP 10 SZT PL,,szt.,POLSKA,5%,"4,75","4,99"
14,116.0001,BRUKSELKA OP 5 KG PL,,KG,POLSKA,5%,"7,20","7,56"
15,116.0002,BURAK GOTOWANY WITAMINA PL,,szt.,POLSKA,5%,"3,70","3,89"
16,116.0003,BURAK DŁUGI OP 10 KG PL,,KG,POLSKA,5%,"1,60","1,68"
17,106.0013,BURAK OKRĄGŁY OP 10 KG PL,,KG,POLSKA,5%,"1,30","1,37"
18,106.0001,CEBULA CUKROWA OP 10 KG PL,,KG,POLSKA,5%,"4,20","4,41"
19,19.0004,CEBULA CZERWONA OP 5 KG PL,,KG,POLSKA,5%,"3,65","3,84"
20,45.0001,CEBULA CZOSNKOWA OP 10 KG IT,,KG,WŁOCHY,5%,"4,20","4,41"
21,20.0003(1)(1)(2),CEBULA SZALOTKA OP 5 KG PL,,KG,POLSKA,5%,"6,30","6,62"
22,21.0001(1),CEBULA MŁODA OP 5 KG PL,,KG,POLSKA,5%,"4,10","4,31"
23,23.0004(2)(1),CEBULA SZYTY WOREK OP 15 KG NL,,KG,HOLANDIA,5%,"2,25","2,37"
24,23.0002,CEBULA WIĄZANA III OP 15 KG PL,,KG,POLSKA,5%,"1,85","1,95"
25,24.0001,CHRZAN OP 5 KG PL,,KG,POLSKA,5%,"18,05","18,96"
26,25.0018(1)(1),CUKINIA ZIELONA ACRENA KARTON OP 5 KG ES,,KG,HISZPANIA,5%,"8,40","8,82"
27,25.0018(1),CYKORIA CZERWONA OP 12 SZT PL,,SZT,POLSKA,5%,"7,65","8,04"
28,,CYKORIA ZIELONA OP 10 SZT PL,,SZT,POLSKA,5%,"7,85","8,25"
29,,CYPRYSIK JASNY DONICZKA USA,,szt.,AMERYKA ,8%,"13,90","15,02"
30,,CYPRYSIK OZDOBNY JASNY DONICZKA USA,,szt.,AMERYKA ,8%,"23,35","25,22"
31,,CYTRYNA 07 I OP 10 KG ES,,KG,HISZPANIA,5%,"6,85","7,20"
32,,CYTRYNA MINERVA CZARNY PLASTIK KG TR,,KG,TURCJA,5%,"5,20","5,46"
33,,CZOSNEK 1 KG CN,,KG,CHINY,5%,"16,80","17,64"
34,,CZOSNEK MYTY OP.PRÓŻNIOWE 1 KG ES,,KG,HISZPANIA,5%,"28,85","30,30"
35,,CZOSNEK WARKOCZ I 25 SZT PL,,szt.,POLSKA,5%,"56,70","59,54"
36,25.0041(3),CZOSNEK WARKOCZ HARNAŚ 20 SZT PL,,szt.,POLSKA,5%,"54,00","56,70"
37,25.0041,DYNIA HOKAIDO KG PL,,KG,POLSKA,5%,"4,20","4,41"
38,121.0002(1)(1)(3),DYNIA PIŻMOWA KG PL,,KG,POLSKA,5%,"3,00","3,15"
40,26.0003,FASOLKA SZPARAGOWA ZIELONA 500G MA,,SZT,MAROKO,5%,"10,60","11,13"
41,26.0011(2),FISALIS / MIECHUNKA SZT CO,,SZT,KOLUMBIA,5%,"4,85","5,10"
42,26.0011,GRANATY OP 14 SZT TR,,szt.,TURCJA ,5%,"3,30","3,47"
43,26.0004(1),GRAPEFRUIT CZERWONY AKAN I KG TR,,KG,TURCJA,5%,"6,85","7,20"
44,26.0011(1)(1),GRAPEFRUIT CZERWONY MARSEL I KG TR,,KG,TURCJA,5%,"5,00","5,25"
45,26.0011(1),GRAPEFRUIT ZIELONY JAFFA I KG IL,,kg,IZRAEL ,5%,"8,05","8,46"
46,26.0005,GROSZEK CUKROWY 250 G SZT IT,,SZT,WŁOCHY,5%,"9,45","9,93"
47,26.0007(1),GROSZEK CZEPNY DONICZKA SZT PL,,szt.,POLSKA,5%,"8,95","9,40"
48,27.0015,GRUSZKA KONFERENCJA I OP 12 KG NL,,KG,HOLANDIA,5%,"7,40","7,77"
49,27.0015(3),GRUSZKA KONFERENCJA I OP 20 KG NL,,KG,HOLANDIA,5%,"6,15","6,46"
50,27.0006(3),GRUSZKA KONFERENCJA II OP 20 KG NL do wyczerpania,,KG,HOLANDIA,5%,"5,15","5,41"
51,27.0020,GRUSZKA LUKASÓWKA I OP 20 KG PL,,KG,POLSKA,5%,"5,15","5,41"
52,27.0006,GRUSZKA LUKASÓWKA II OP 18 KG PL do wyczerpania,,KG,POLSKA,5%,"3,95","4,15"
53,27.0012,GRUSZKA SUSZONA ĆWIARTKA OP 5 KG PL,,KG,POLSKA,5%,"22,70","23,84"
54,121.0003(2),GRUSZKA SUSZONA PLASTER OP 5 KG PL,,KG,POLSKA,5%,"21,45","22,53"
55,28.0001(2),GRUSZKA WĘDZONA KG PL,,KG,POLSKA,8%,"15,15","16,37"
56,121.0001(4),GRZYBY SHIMEJI 150 G CN,,SZT,CHINY,5%,"4,15","4,36"
57,121.0096,IMBIR KG BR,,KG,BRAZYLIA ,8%,"17,15","18,53"
58,121.0097,JABŁKA ALWA I OP 15 KG PL,,KG,POLSKA,5%,"2,80","2,94"
59,121.0001(6),JABŁKA BOSKOP I OP 15 KG PL,,KG,POLSKA,5%,"4,00","4,20"
60,121.0002(3)(1),JABŁKA CHAMPION II OP 15 KG PL,,KG,POLSKA,5%,"2,40","2,52"
61,121.0097(2),JABŁKA CHAMPION KARTON I OP 14 KG PL,,KG,POLSKA,5%,"2,70","2,84"
62,121.0003,JABŁKA EMPIRE I OP 15 KG PL,,KG,POLSKA,5%,"3,00","3,15"
63,29.0002,JABŁKA KORTLAND I OP 15 KG PL,,KG,POLSKA,5%,"3,65","3,84"
64,29.0003,JABŁKA KORTLAND KARTON I OP 14 KG PL,,KG,POLSKA,5%,"3,95","4,15"
65,30.0001,JABŁKA LIGOL I OP 14 KG PL,,KG,POLSKA,5%,"3,55","3,73"
66,30.0002,JABŁKA LIGOL II OP 15 KG PL,,KG,POLSKA,5%,"3,25","3,42"
67,42156,JABŁKA LOBO I OP 15 KG PL,,KG,POLSKA,5%,"3,65","3,84"
68,86.0001(1)(1),JABŁKA LOBO KARTON I OP 14 KG PL,,KG,POLSKA,5%,"3,95","4,15"
69,33.0001,JABŁKA PRINCE II OP 15 KG PL,,KG,POLSKA,5%,"2,65","2,79"
70,CZOSNEK20,JABŁKA PRINCE KARTON I OP 14 KG PL,,KG,POLSKA,5%,"3,45","3,63"
71,33.0015,JABŁKO SUSZONE OP 5 KG PL,,KG,POLSKA,5%,"21,45","22,53"
72,121.0004(1),JABŁKO ZIELONE I SZT IT,,szt.,WŁOCHY,5%,"2,40","2,52"
73,33.0016,JAJKA OD MŁODYCH KUR WRZOSEK PL,,SZT,POLSKA,5%,"8,45","8,88"
74,33.0007(1)(2) ,JAJKA OWSIANE WRZOSEK PL,,SZT,POLSKA,5%,"11,45","12,03"
75,33.0007(1)(2) (1),JAJKA PACZKOWANE L KABAD PL,,SZT,POLSKA,5%,"10,35","10,87"
76,121.0005(3),JAJKA WOLNY WYBIEG M ECO OVI PL,,SZT,POLSKA,5%,"9,10","9,56"
77,121.0005(1),JAJKA ZIELONA NÓŻKA WRZOSEK PL,,SZT,POLSKA,5%,"12,60","13,23"
78,74.0003,JARMUŻ WIĄZKA SZT PL,,szt.,POLSKA,5%,"5,45","5,73"
