,,OFERTA HANDLOWA SELIGA,,,,,,
,,,,,,,,
,,,,,,,,
,,10.11.2024 – 12.12.2024,,,,,,
,,,,,,,,
LP,,NAZWA,ILOŚĆ ZAMÓWIONA,JM,KRAJ,VAT,Cena netto,Cena Brutto
49,27.0015(3),GRUSZKA KONFERENCJA I OP 20 KG NL,,KG,HOLANDIA,5%,"6,30","6,62"
50,27.0006(3),GRUSZKA LUKASÓWKA I OP 20 KG PL,,KG,POLSKA,5%,"5,15","5,41"
51,27.0020,GRUSZKA SUSZONA ĆWIARTKA OP 5 KG PL,,KG,POLSKA,5%,"22,70","23,84"
52,27.0006,GRUSZKA SUSZONA PLASTER OP 5 KG PL,,KG,POLSKA,5%,"21,45","22,53"
53,27.0012,GRUSZKA WĘDZONA KG PL,,KG,POLSKA,5%,"15,15","15,91"
54,121.0003(2),GRZYBY SHIMEJI 150 G CN,,SZT,CHINY,5%,"4,20","4,41"
55,28.0001(2),IMBIR KG BR,,KG,BRAZYLIA ,8%,"17,15","18,53"
56,121.0001(4),JABŁKA ALWA I OP 15 KG PL,,KG,POLSKA,5%,"2,80","2,94"
57,121.0096,JABŁKA BOSKOP I OP 15 KG PL,,KG,POLSKA,5%,"4,00","4,20"
58,121.0097,JABŁKA CHAMPION II OP 15 KG PL,,KG,POLSKA,5%,"2,40","2,52"
59,121.0001(6),JABŁKA EMPIRE I OP 15 KG PL,,KG,POLSKA,5%,"3,00","3,15"
60,121.0002(3)(1),JABŁKA KORTLAND I OP 15 KG PL,,KG,POLSKA,5%,"3,65","3,84"
61,121.0097(2),JABŁKA KORTLAND KARTON I OP 14 KG PL,,KG,POLSKA,5%,"3,95","4,15"
62,121.0003,JABŁKA LIGOL I OP 14 KG PL,,KG,POLSKA,5%,"3,55","3,73"
63,29.0002,JABŁKA LIGOL I OP 15 KG PL,,KG,POLSKA,5%,"3,25","3,42"
64,29.0003,JABŁKA LOBO I OP 15 KG PL,,KG,POLSKA,5%,"3,65","3,84"
65,30.0001,JABŁKA LOBO KARTON I OP 14 KG PL,,KG,POLSKA,5%,"3,95","4,15"
66,30.0002,JABŁKA PRINCE II OP 15 KG PL,,KG,POLSKA,5%,"2,65","2,79"
67,42156,JABŁKA PRINCE KARTON I OP 14 KG PL,,KG,POLSKA,5%,"3,45","3,63"
68,86.0001(1)(1),JABŁKO SUSZONE OP 5 KG PL,,KG,POLSKA,5%,"21,45","22,53"
69,33.0001,JABŁKO ZIELONE I SZT IT,,szt.,WŁOCHY,5%,"2,40","2,52"
70,CZOSNEK20,JAJKA OD MŁODYCH KUR WRZOSEK PL,,SZT,POLSKA,5%,"8,45","8,88"
71,33.0015,JAJKA OWSIANE WRZOSEK PL,,SZT,POLSKA,5%,"11,45","12,03"
72,121.0004(1),JAJKA PACZKOWANE L KABAD PL,,SZT,POLSKA,5%,"10,35","10,87"
73,33.0016,JAJKA WOLNY WYBIEG L Z ORONSKA  PL,,SZT,POLSKA,5%,"10,10","10,61"
74,33.0007(1)(2) ,JAJKA ZIELONA NÓŻKA WRZOSEK PL,,SZT,POLSKA,5%,"12,60","13,23"
75,33.0007(1)(2) (1),JARMUŻ WIĄZKA SZT PL,,szt.,POLSKA,5%,"5,45","5,73"
76,121.0005(3),KAKI OP 16/18SZT ES,,szt.,HISZPANIA,5%,"4,30","4,52"
78,121.0005(1),KALAFIOR DREWNO OP 6 SZT FR,,szt.,FRANCJA,5%,"8,85","9,30"
79,74.0003,KALAREPA ZIELONA DREWNO OP 25 SZT IT,,szt.,WŁOCHY,5%,"2,40","2,52"
80,35.0001(2),KAPUSTA BIAŁA OP 20 KG PL,,KG,POLSKA,5%,"2,10","2,21"
81,35.0002,KAPUSTA CZERWONA OP 10 KG PL,,KG,POLSKA,5%,"2,75","2,89"
82,35.0001(1),"KAPUSTA KISZONA GUTIMEX 0,5 KG PL",,SZT.,POLSKA,5%,"1,95","2,05"
83,35.0009,KAPUSTA KISZONA GUTIMEX 1 KG PL,,szt.,POLSKA,5%,"3,60","3,78"
84,35.0008,KAPUSTA KISZONA FOLIA GUTIMEX 3 KG PL,,szt.,POLSKA,5%,"10,80","11,34"
85,35.0004,KAPUSTA KISZONA WIADRO GUTIMEX 3 KG PL,,szt.,POLSKA,5%,"13,20","13,86"
86,121.0006(1),KAPUSTA KISZONA WIADRO 5 KG GUTIMEX PL,,szt.,POLSKA,5%,"16,80","17,64"
87,120.0059,KAPUSTA MŁODA PLASTIK OP 6 SZT MK,,SZT,MACEDONIA,5%,"8,65","9,09"
88,36.0013,KAPUSTA PEKIŃSKA ZIELONA OP 10 KG PL,,KG,POLSKA,5%,"3,25","3,42"
89,,KAPUSTA WŁOSKA I SZT PL,,SZT,POLSKA,5%,"8,45","8,88"
90,36.0003,KARAMBOLA SZT MY,,szt.,MALEZJA,5%,"6,55","6,88"
91,36.0012(1)(1),KIEŁKI III SZT PL,,szt.,POLSKA,5%,"5,05","5,31"
92,36.0012(1),KIWI KOSZ KAVALA I KALIBER 27 SZT GR,,szt.,GRECJA,5%,"10,80","11,34"
93,120.0090,KIWI KOSZ SEPO I KALIBER 18/20 SZT IT,,szt.,WŁOCHY,5%,"8,10","8,51"
94,,KIWI LUZ CZARNY PLASTIK I KG GR,,KG,GRECJA,5%,"8,90","9,35"
95,,KIWI LUZ KAVALA I OP 10 KG GR,,KG,GRECJA,5%,"10,80","11,34"
96,,"KIWI LUZ ZESPRI GOLD I OP 5,6 KG NZ",,KG,NOWA ZELANDIA ,5%,"27,90","29,30"
97,,KOKOS SZT PH,,szt.,FILIPINY,5%,"2,55","2,68"
98,,KOLENDRA DONICZKA SZT PL,,szt.,POLSKA,8%,"7,25","7,83"
99,,KOLENDRA ŚWIEŻA STYROPIAN OP 20 SZT ES,,szt.,HISZPANIA,5%,"2,45","2,58"
100,,KOPER STYROPIAN OP 20 SZT ES,,SZT,HISZPANIA,5%,"3,65","3,84"
101,,KOPER SZT PL,,SZT,POLSKA,5%,"1,90","2,00"
102,,KOPER WŁOSKI SZT IT,,szt.,WŁOCHY,5%,"4,85","5,10"
103,,KURKUMA ŚWIEZA TACKA 250 G SZT PE,,SZT,PERU,8%,"11,85","12,80"
104,,"LIMONKI OP 4,5 KG BR",,KG,BRAZYLIA ,5%,"18,60","19,53"
105,,LUBCZYK DONICZKA PL,,szt.,POLSKA,8%,"7,25","7,83"
106,,MANDARYNKA LUSAR DREWNO KAL 4/5 OP 10 KG ES,,KG,HISZPANIA,5%,"4,50","4,73"
107,,MANDARYNKA LUZ NIEBIESKIE OP I KALIBER 4 KG GR,,KG,GRECJA,5%,"6,40","6,72"
108,,MANDARYNKA LUZ NIEBIESKIE OP I KALIBER 3 KG GR,,KG,GRECJA,5%,"7,00","7,35"
109,,MANDARYNKA LUZ PAPADIMAS I KALIBER 2 KG GR,,KG,GRECJA,5%,"7,25","7,62"
110,36.0008,MANDARYNKA RAQUEL I KALIBER 3 OP 10 KG ES,,KG,HISZPANIA,5%,"8,55","8,98"
111,36.0006(1),MANGO LOTNICZE SZT PE,,szt.,PERU,5%,"16,80","17,64"
112,36.0006,MANGO OP 10 SZT BR,,szt.,BRAZYLIA,5%,"3,80","3,99"
113,37.0001(1),MARAKUJA SZT BR,,szt.,BRAZYLIA,5%,"3,60","3,78"
114,38.0001,MARCHEW GOTOWANA WITAMINA SZT PL,,szt.,POLSKA,5%,"3,70","3,89"
115,120.0002,MARCHEW MINI 200 G SZT RPA,,SZT,AFRYKA,5%,"15,25","16,02"
116,41.0002(1)(1)(1)((3),MARCHEW FOLIA OP 10 KG NL,,KG,HOLANDIA,5%,"1,95","2,05"
117,120.0003,MARCHEW SZYTA OP 10 KG NL,,KG,HOLANDIA,5%,"1,85","1,95"
118,120.0056(1),MELISA DONICZKA SZT PL,,szt.,POLSKA ,8%,"7,25","7,83"
119,GROSZEK CUKROWY,MELON QUANTALUPA SZT IT,,SZT,WŁOCHY,5%,"14,75","15,49"
120,106.0001(3),MELON ŻÓŁTY KALIBER 9 SZT BR,,SZT,BRAZYLIA,5%,"8,05","8,46"
121,44.0014(3),MIESZANKA OWOCÓW SUSZONYCH 200G SZT PL,,szt.,POLSKA,5%,"4,95","5,20"
122,44.0011,MIESZANKA OWOCÓW SUSZONYCH ANMAR 140G SZT PL,,szt.,POLSKA,5%,"4,45","4,68"
123,44.0002,MIESZANKA OWOCÓW SUSZONYCH BIAŁE OP 5 KG PL,,KG,POLSKA,5%,"22,70","23,84"
124,44.0006(1)(5),MIĘTA DONICZKA XL SZT PL,,szt.,POLSKA ,8%,"12,35","13,34"
125,08.0007(1),MIĘTA ŚWIEŻA STYROPIAN OP 20 SZT ES,,szt.,HISZPANIA,5%,"3,95","4,15"
